th,n_nodes,n_edges
1e-20,223,678
1.7782794100389228e-20,223,678
3.162277660168379e-20,223,678
5.62341325190349e-20,223,678
1e-19,223,678
1.7782794100389227e-19,223,678
3.162277660168379e-19,223,678
5.623413251903491e-19,223,678
1e-18,223,678
1.778279410038923e-18,223,678
3.1622776601683795e-18,223,678
5.623413251903491e-18,223,678
1e-17,223,678
1.7782794100389228e-17,223,678
3.1622776601683796e-17,223,678
5.62341325190349e-17,223,678
1e-16,223,678
1.7782794100389228e-16,223,678
3.1622776601683793e-16,223,678
5.623413251903491e-16,223,678
1e-15,223,678
1.7782794100389227e-15,223,678
3.1622776601683794e-15,223,678
5.623413251903491e-15,223,678
1e-14,223,678
1.7782794100389227e-14,223,678
3.1622776601683796e-14,223,678
5.6234132519034906e-14,223,678
1e-13,223,678
1.7782794100389227e-13,223,678
3.162277660168379e-13,223,678
5.62341325190349e-13,223,678
1e-12,223,678
1.7782794100389228e-12,223,678
3.1622776601683794e-12,223,678
5.6234132519034904e-12,223,678
1e-11,223,678
1.7782794100389227e-11,223,678
3.1622776601683794e-11,223,678
5.6234132519034906e-11,223,678
1e-10,223,678
1.778279410038923e-10,223,678
3.1622776601683795e-10,223,678
5.623413251903491e-10,223,678
1e-09,223,678
1.7782794100389228e-09,223,678
3.1622776601683795e-09,223,678
5.623413251903491e-09,223,678
1e-08,223,678
1.7782794100389228e-08,223,678
3.162277660168379e-08,223,678
5.6234132519034905e-08,223,678
1e-07,223,678
1.7782794100389227e-07,223,678
3.162277660168379e-07,223,678
5.62341325190349e-07,223,678
1e-06,223,678
1.778279410038923e-06,223,678
3.162277660168379e-06,223,678
5.623413251903491e-06,223,678
1e-05,223,678
1.778279410038923e-05,223,678
3.1622776601683795e-05,223,678
5.623413251903491e-05,223,678
0.0001,223,678
0.00017782794100389227,223,678
0.00031622776601683794,225,748
0.0005623413251903491,225,786
0.001,225,859
0.0017782794100389228,226,922
0.0031622776601683794,226,987
0.005623413251903491,226,1082
0.01,227,1181
0.01778279410038923,228,1330
0.03162277660168379,230,1485
0.05623413251903491,230,1703
0.1,231,1984
0.1778279410038923,232,2321
0.31622776601683794,233,2943
0.5623413251903491,234,4730
1.0,234,13966
